Date,Total_Vol,Department Stores_Vol,Supermarkets & Hypermarkets_Vol,Mini-Marts & Convenience Stores_Vol,Food & Alcohol_Vol,Motor Vehicles_Vol,Petrol Service Stations_Vol,"Cosmetics, Toiletries & Medical Goods_Vol",Wearing Apparel & Footwear_Vol,Furniture & Household Equipment_Vol,Recreational Goods_Vol,Watches & Jewellery_Vol,Computer & Telecommunications Equipment_Vol,Optical Goods & Books_Vol,Others_Vol,Total (Excluding Motor Vehicles)_Vol,Total YoY % Change_Vol,Total_Price,Department Stores_Price,Supermarkets & Hypermarkets_Price,Mini-Marts & Convenience Stores_Price,Food & Alcohol_Price,Motor Vehicles_Price,Petrol Service Stations_Price,"Cosmetics, Toiletries & Medical Goods_Price",Wearing Apparel & Footwear_Price,Furniture & Household Equipment_Price,Recreational Goods_Price,Watches & Jewellery_Price,Computer & Telecommunications Equipment_Price,Optical Goods & Books_Price,Others_Price,Total (Excluding Motor Vehicles)_Price,Total YoY % Change_Price,Retail Trade_Online_%,Supermarkets & Hypermarkets_Online_%,Computer & Telecommunications Equipment_Online_%,Furniture & Household Equipment_Online_%,Retail Trade (Excluding Motor Vehicles)_Online_%,Inflation Deflator_%,Supermarkets & Hypermarkets_Online_Vol,Supermarkets & Hypermarkets_Online_Price,Computer & Telecommunications Equipment_Online_Vol,Computer & Telecommunications Equipment_Online_Price,Furniture & Household Equipment_Online_Vol,Furniture & Household Equipment_Online_Price,Computer & Telecommunications Equipment_Deflator,Supermarkets & Hypermarkets_Deflator,Furniture & Household Equipment_Deflator,Department Stores_Deflator,Mini-Marts & Convenience Stores_Deflator,Food & Alcohol_Deflator,Motor Vehicles_Deflator,Petrol Service Stations_Deflator,"Cosmetics, Toiletries & Medical Goods_Deflator",Wearing Apparel & Footwear_Deflator,Recreational Goods_Deflator,Watches & Jewellery_Deflator,Optical Goods & Books_Deflator,Others_Deflator
2011-05-01,94.917,102.669,90.38,108.812,118.147,64.324,121.337,72.784,105.651,108.68,107.011,100.066,120.042,117.26,92.139,101.389,7.356384242136338,95.289,102.304,82.742,99.226,103.741,67.506,114.463,72.684,105.525,114.32,109.238,104.1,126.889,112.333,90.456,99.138,10.04238217869804,0.0,0.0,0.0,0.0,0.0,0.3919213628749363,0.0,0.0,0.0,0.0,0.0,0.0,5.7038369903867014,-8.450984731135202,5.189547294810448,-0.35551140071491405,-8.809690107708711,-12.193284636935353,4.946831664697471,-5.6652134138803545,-0.13739283358981114,-0.11926058437685683,2.0810944669239717,4.031339316051397,-4.201773835920186,-1.8265880897339826
2011-06-01,95.647,102.562,90.516,107.021,119.637,70.252,121.359,68.336,107.466,105.065,107.894,107.817,121.133,114.98,93.072,101.612,8.881552734930853,96.719,102.379,83.242,97.998,105.277,71.009,113.517,68.143,106.77,110.251,108.997,112.861,127.491,110.446,91.545,99.539,11.608719232855202,0.0,0.0,0.0,0.0,0.0,1.1207878971635221,0.0,0.0,0.0,0.0,0.0,0.0,5.248776138624489,-8.036148305271995,4.935992004949319,-0.17842865778747719,-8.431055587221191,-12.002975668062554,1.0775493936115765,-6.4618198897485986,-0.28242800280964264,-0.6476466975601558,1.0222996644855042,4.678297485554239,-3.9432944859975727,-1.640665291387311
2011-07-01,98.906,106.991,90.667,109.511,117.904,71.783,125.242,74.181,114.437,106.866,111.936,100.003,134.465,115.753,94.052,104.096,8.352139523673907,98.51,105.486,83.142,100.462,103.846,72.564,116.962,74.361,109.491,111.44,113.227,107.57,140.521,110.822,92.296,101.277,10.869760950794571,0.0,0.0,0.0,0.0,0.0,-0.40038015893879564,0.0,0.0,0.0,0.0,0.0,0.0,4.503774216338807,-8.299601839699122,4.280126513577742,-1.4066603733024263,-8.263096857849895,-11.923259601031344,1.0880013373639974,-6.611200715414956,0.24264973510739196,-4.32202871448919,1.1533376214979851,7.566772996810078,-4.259932787919096,-1.867052268957603
2011-08-01,93.204,104.678,89.711,106.518,118.623,63.317,121.789,73.363,104.613,106.645,107.44,91.955,126.672,111.67,92.297,101.274,0.6022925976296722,93.891,103.852,82.523,98.379,104.801,64.496,111.293,73.769,104.536,110.324,108.17,103.078,131.421,106.544,90.959,98.563,1.985596819569202,0.0,0.0,0.0,0.0,0.0,0.7370928286339673,0.0,0.0,0.0,0.0,0.0,0.0,3.7490526714664574,-8.012395358428737,3.449763233156733,-0.7890865320315577,-7.640962090914205,-11.652040498048443,1.8620591626261396,-8.618183908234734,0.5534124831318321,-0.07360461892881309,0.6794489947878013,12.096133978576473,-4.590310736992931,-1.4496679198673812
2011-09-01,90.667,99.274,89.673,109.024,114.964,62.402,122.474,74.874,106.153,105.735,106.516,88.753,120.554,111.62,90.978,98.792,-3.2544789099096194,93.525,98.632,82.751,100.678,101.907,64.655,114.745,75.464,105.511,110.291,106.79,101.798,124.27,107.213,89.387,98.001,0.8290568804174558,0.0,0.0,0.0,0.0,0.0,3.152194293403343,0.0,0.0,0.0,0.0,0.0,0.0,3.0824360867329093,-7.719157382935771,4.308885421099906,-0.646695005741682,-7.655195186380981,-11.357468424898231,3.6104612031665706,-6.310727174747289,0.7879904906910262,-0.6047874294650257,0.25723834916819843,14.698094712291422,-3.9482171653825615,-1.7487744289828244
2011-10-01,96.17,105.587,90.869,108.804,122.076,68.285,122.781,77.179,109.085,109.87,111.855,94.533,129.471,114.559,94.951,102.697,6.040224055043453,97.884,104.924,83.962,100.618,108.703,70.845,118.042,77.511,108.416,113.666,112.391,104.376,132.095,110.732,93.671,101.182,8.329090949334873,0.0,0.0,0.0,0.0,0.0,1.7822605802225278,0.0,0.0,0.0,0.0,0.0,0.0,2.0267086837979065,-7.601052063960201,3.4549922635842334,-0.6279182096280755,-7.523620455130331,-10.954651200891242,3.7489931903053497,-3.8597177087660195,0.43016882830821945,-0.6132832195077209,0.47919181082651807,10.412236996604364,-3.340636702485178,-1.3480637381386051
2011-11-01,95.441,106.064,89.456,108.362,120.206,68.518,123.762,75.083,105.383,107.298,105.803,89.112,139.974,115.316,91.781,102.806,3.2888898508690367,97.322,105.181,82.936,100.602,107.183,70.865,121.494,75.548,105.067,111.129,107.267,100.56,143.204,111.305,90.786,100.416,5.261905534464684,0.0,0.0,0.0,0.0,0.0,1.9708511017277663,0.0,0.0,0.0,0.0,0.0,0.0,2.307571406118303,-7.2884993739939175,3.5704300173349024,-0.8325162166239242,-7.161181964157171,-10.83390180190672,3.4253772731253074,-1.8325495709506923,0.6193146251481707,-0.2998586109714152,1.3837036756991772,12.846754645838953,-3.4782684102813155,-1.084102374129725
2011-12-01,96.052,106.629,90.459,107.903,120.824,62.566,123.593,77.193,113.555,108.934,110.398,95.378,140.721,115.649,94.251,105.033,3.5601078167115885,96.172,105.837,84.106,100.467,108.157,63.814,120.588,77.322,110.249,112.544,111.049,103.862,143.011,110.881,92.417,101.939,3.1999141538791687,0.0,0.0,0.0,0.0,0.0,0.12493232832215817,0.0,0.0,0.0,0.0,0.0,0.0,1.6273335180960746,-7.0230712256381445,3.31393320726312,-0.7427622879329299,-6.891374660574778,-10.483844269350461,1.9946936035546425,-2.4313674722678535,0.16711359838328388,-2.9113645370085095,0.5896845957354291,8.895133049550207,-4.122819911975029,-1.945867948350688
2012-01-01,97.379,102.224,89.159,108.987,117.561,62.112,123.533,80.196,103.1,113.045,109.492,95.811,132.309,118.401,98.823,101.211,6.561395445542395,94.773,101.863,83.359,101.615,106.01,59.497,121.12,80.594,104.285,117.243,111.219,105.499,133.467,113.48,100.059,101.934,8.404918501572766,0.0,0.0,0.0,0.0,0.0,-2.6761416732560495,0.0,0.0,0.0,0.0,0.0,0.0,0.8752239076706969,-6.505232225574553,3.7135653943120017,-0.3531460322429236,-6.764109480947267,-9.825537380593907,-4.2101365275631135,-1.9533242129633366,0.4962841039453325,1.1493695441319174,1.577284185145933,10.11157382763983,-4.156214896833632,1.2507209860052937
2012-02-01,95.458,102.393,89.542,110.766,120.679,83.039,125.025,79.767,104.138,110.093,111.303,88.527,123.403,114.16,91.073,101.54,6.3563334930308635,100.924,102.718,83.274,103.137,107.629,82.952,122.35,80.878,105.102,114.921,112.709,97.18,126.562,110.048,91.081,100.004,12.573060277517524,0.0,0.0,0.0,0.0,0.0,5.726078484778663,0.0,0.0,0.0,0.0,0.0,0.0,2.5599053507613156,-7.000067007661215,4.385383266874365,0.31740451007393755,-6.887492551866103,-10.813811847960286,-0.10477004780886645,-2.139572085582897,1.392806549074188,0.9256947511955271,1.2632184217855835,9.774419103776255,-3.6019621583742056,0.008784162155639486
2012-03-01,97.036,105.047,90.116,108.963,118.216,70.26,123.496,79.15,107.23,113.485,109.032,96.332,133.024,113.959,92.643,103.204,6.82901588629683,98.806,104.694,83.72,101.604,105.79,71.866,123.854,80.091,108.599,116.46,109.389,105.333,134.374,109.701,92.547,101.982,8.5732495274933,0.0,0.0,0.0,0.0,0.0,1.8240652953543046,0.0,0.0,0.0,0.0,0.0,0.0,1.0148544623526545,-7.097518753606469,2.621491827113709,-0.33604005825963457,-6.753668676523217,-10.511267510320078,2.285795616282371,0.2898879315929248,1.1888818698673198,1.276694954770119,0.3274268104776601,9.34372794087115,-3.7364315236181556,-0.10362358731906829
2012-04-01,96.376,106.414,90.748,108.894,120.835,62.944,123.687,79.771,109.352,109.361,113.882,98.137,134.401,112.167,95.95,103.106,1.944191753580582,96.753,106.202,84.421,101.545,108.213,63.846,125.972,80.356,109.95,111.9,113.258,107.613,135.877,108.206,95.065,102.709,2.352717155581896,0.0,0.0,0.0,0.0,0.0,0.39117622644642136,0.0,0.0,0.0,0.0,0.0,0.0,1.0982061145378363,-6.972054480539514,2.3216686021525046,-0.1992219068919554,-6.748764853894618,-10.44564902553068,1.433019827147941,1.8474051436286665,0.7333492121196938,0.5468578535372082,-0.5479355824449916,9.655889216095858,-3.531341660203091,-0.9223553934340822
2012-05-01,95.228,103.701,90.357,108.512,118.727,64.938,123.163,79.203,106.229,111.119,112.084,93.969,132.413,109.803,92.236,102.82,0.32765468777984363,95.887,102.895,84.179,101.357,106.604,66.284,120.315,79.625,106.084,113.544,111.789,101.06,132.891,106.018,91.764,100.476,0.6275645667390695,0.0,0.0,0.0,0.0,0.0,0.6920233544755794,0.0,0.0,0.0,0.0,0.0,0.0,0.3609917455234646,-6.837323062961365,2.182345053501189,-0.7772345493293198,-6.59374078442937,-10.210819779831048,2.0727463118667133,-2.31238277729513,0.5328081007032415,-0.1364975665778645,-0.2631954605474496,7.546105630580313,-3.44708250229957,-0.5117307775705848
